indicator_id,YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
1307,2011,2011,New Jersey,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,33.6
5415,2018,2018,Colorado,Diabetes,Diabetes prevalence among women aged 18-44 years,%,4.8
1968,2018,2018,Arizona,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.5
2924,2013,2013,Missouri,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,46.5
8121,2015,2015,Pennsylvania,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,5.4
8313,2014,2014,Colorado,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,3.6
9848,2013,2013,Louisiana,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,
2954,2011,2015,Pennsylvania,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",46.3
4677,2015,2015,Oklahoma,Asthma,Emergency department visit rate for asthma,,
4555,2018,2018,Texas,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,65.8
8477,2014,2014,Missouri,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,54.5
229,2015,2015,Oklahoma,Cardiovascular Disease,Mortality from total cardiovascular diseases,Number,6388
7677,2012,2012,Louisiana,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,3.3
5820,2018,2018,Wisconsin,Cancer,Mammography use among women aged 50-74 years,%,
4889,2018,2018,Iowa,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,
4069,2012,2012,Wisconsin,Tobacco,Current smoking among adults aged >= 18 years,%,19.3
1148,2012,2012,Hawaii,Alcohol,Heavy drinking among adults aged >= 18 years,%,9.2
9417,2017,2017,Oregon,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,6.3
7480,2013,2013,New Jersey,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",389.15
9354,2012,2012,Oklahoma,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
464,2015,2015,Montana,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,2.3
6917,2013,2013,Kentucky,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,%,30.6
1564,2016,2016,Georgia,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
7676,2009,2009,New Hampshire,Overarching Conditions,Life expectancy at age 65 years,Years,20.6
9529,2018,2018,Louisiana,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,40.2
5068,2010,2014,California,Cancer,"Cancer of the lung and bronchus, incidence",,8587
4019,2016,2016,South Dakota,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,50.8
9248,2016,2016,California,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,4.2
885,2014,2014,Maryland,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",2.55
4950,2017,2017,Hawaii,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,75.0
6586,2010,2010,Idaho,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
9334,2013,2013,New York,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,57.1
6347,2011,2015,Missouri,Cancer,"Invasive cancer of the female breast, incidence",,5033
9247,2016,2016,North Carolina,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,28.3
4094,2013,2013,North Dakota,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,23.7
3526,2009,2013,Kansas,Cancer,"Cancer of the prostate, mortality",,249
4186,2018,2018,Rhode Island,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,78.8
3569,2016,2016,Indiana,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,10.8
6138,2013,2013,Guam,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
8700,2016,2016,Texas,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
6520,2008,2012,South Carolina,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",80.8
124,2018,2018,United States,"Nutrition, Physical Activity, and Weight Status",Farmers markets that accept Supplemental Nutrition Assistance Program (SNAP) benefits,%,
9962,2013,2013,Louisiana,Overarching Conditions,Poverty,%,19.8
698,2012,2012,Maryland,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.3
789,2017,2017,Kentucky,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,24.2
3089,2014,2014,District of Columbia,Asthma,Current asthma prevalence among adults aged >= 18 years,%,13.9
9735,2011,2011,West Virginia,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",135.1
4145,2011,2011,New York,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,49.5
8039,2013,2013,Guam,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,31.8
2587,2016,2016,Indiana,Asthma,Current asthma prevalence among adults aged >= 18 years,%,6.4
9847,2016,2016,Missouri,Oral Health,No tooth loss among adults aged 18-64 years,%,61.3
6750,2012,2012,Louisiana,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,27.0
2714,2012,2012,Iowa,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,52.7
4804,2011,2015,United States,Cancer,"Invasive cancer of the cervix, incidence",,2143
318,2009,2013,Wisconsin,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",36.1
5777,2014,2014,California,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
8905,2018,2018,Kentucky,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,74.1
7186,2016,2016,Arizona,Cardiovascular Disease,Mortality from total cardiovascular diseases,Number,1847
261,2013,2013,Hawaii,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,7.2
8396,2016,2016,South Carolina,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,20.0
7610,2013,2013,Virginia,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,
2984,2014,2014,Oklahoma,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,47.5
1006,2016,2016,Nevada,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,59.5
8865,2013,2013,Georgia,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",
1838,2014,2014,Utah,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,31
3727,2015,2015,Mississippi,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Number,3293
380,2014,2014,Utah,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,47.5
6218,2011,2015,Kentucky,Cancer,"Cancer of the female breast, mortality","per 100,000",
8856,2013,2013,Alabama,Alcohol,Heavy drinking among adults aged >= 18 years,%,
3592,2017,2017,Utah,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,57.6
8040,2008,2012,Oklahoma,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",95.4
7929,2013,2013,Illinois,Alcohol,Alcohol use before pregnancy,%,
3527,2013,2013,Puerto Rico,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
4108,2015,2015,Louisiana,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,%,
4667,2015,2015,New Mexico,Cardiovascular Disease,Hospitalization for acute myocardial infarction,,38
8507,2013,2013,Arizona,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",79.0
1314,2008,2012,Illinois,Cancer,"Invasive cancer (all sites combined), mortality",,12327
4464,2012,2012,District of Columbia,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",
5945,2017,2017,Mississippi,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
6005,2012,2012,Virginia,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",67.7
4039,2015,2015,Mississippi,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
6681,2014,2014,Montana,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",138.4
8008,2009,2013,South Carolina,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",37.6
642,2016,2016,Maryland,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
2932,2012,2012,Georgia,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
1455,2015,2015,Georgia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
8713,2013,2013,Louisiana,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
7548,2015,2015,Montana,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,68.8
6761,2013,2013,Connecticut,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,
7746,2016,2016,California,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,54.5
6997,2009,2013,United States,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",65.5
8261,2013,2013,Delaware,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,77.9
2319,2017,2017,Delaware,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,65.6
5400,2018,2018,Arkansas,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,4.2
5696,2017,2017,New Jersey,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
9387,2014,2014,Indiana,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,3.0
6674,2014,2014,Montana,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,50.9
5663,2012,2012,Indiana,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,
5344,2016,2016,Washington,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,45.5
6936,2014,2014,Delaware,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
7021,2017,2017,West Virginia,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,5.8
3929,2010,2014,Montana,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",3.2
905,2017,2017,Washington,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,21.8
9060,2012,2012,Oregon,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",100.5
706,2012,2012,Connecticut,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,42.7
7053,2014,2014,Oregon,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",16.80
1589,2011,2015,South Carolina,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",3.5
663,2013,2013,Hawaii,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,83.9
5516,2015,2015,Texas,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,,
5303,2011,2011,Indiana,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
1539,2016,2016,West Virginia,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,66.7
4169,2015,2015,Louisiana,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,
8301,2015,2015,South Dakota,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",80.11
4530,2011,2011,Pennsylvania,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,16.5
3486,2011,2011,South Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,77.7
8475,2013,2013,Connecticut,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,1.1
3015,2017,2017,Wisconsin,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,42.1
7055,2009,2013,Missouri,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",16.1
1611,2018,2018,Alabama,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,
1479,2011,2015,Georgia,Cancer,"Melanoma, mortality",,79
3215,2012,2016,Tennessee,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",402.8
2038,2016,2016,Rhode Island,Arthritis,Arthritis among adults aged >= 18 years,%,22.1
7734,2014,2014,Kentucky,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",22.65
920,2011,2011,Missouri,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
9238,2011,2011,Colorado,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,1.0
567,2014,2014,Iowa,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",
9590,2009,2013,New Hampshire,Cancer,"Cancer of the female breast, mortality","per 100,000",
988,2014,2014,Delaware,Cardiovascular Disease,Mortality from coronary heart disease,,
3685,2017,2017,Montana,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,89.7
4178,2011,2011,California,Disability,Disability among adults aged >= 65 years,%,35.5
4189,2011,2011,Florida,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.9
6075,2016,2016,Oklahoma,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
4406,2015,2015,Guam,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
235,2015,2015,Nevada,Cardiovascular Disease,Mortality from total cardiovascular diseases,Number,695
5061,2012,2012,Alaska,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,
3224,2017,2017,North Dakota,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,67.5
7771,2013,2013,Missouri,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",12.28
8789,2015,2015,Montana,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,14.6
253,2016,2016,Tennessee,Overarching Conditions,Premature mortality among adults aged 45-64 years,Number,2837
952,2011,2011,Hawaii,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
181,2011,2011,Oregon,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,16.8
8822,2015,2015,Hawaii,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
5192,2014,2014,Alaska,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,49.1
7248,2014,2014,Rhode Island,Reproductive Health,Folic acid supplementation,%,25.2
237,2015,2015,Connecticut,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,
5563,2016,2016,Puerto Rico,Alcohol,Heavy drinking among adults aged >= 18 years,%,
3783,2013,2013,Missouri,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,41.4
7119,2009,2013,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",,28850
1156,2018,2018,New Jersey,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,41.5
2892,2017,2017,Maine,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,54.9
1699,2011,2011,South Carolina,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
5998,2012,2012,California,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,33.7
5682,2017,2017,Maryland,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,
6063,2018,2018,California,Tobacco,Quit attempts in the past year among current smokers,%,47.6
4594,2011,2011,New Jersey,Overarching Conditions,Poverty,%,10.4
8921,2013,2013,Kansas,Disability,Disability among adults aged >= 65 years,%,42.7
6402,2016,2016,Michigan,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",127.60
4839,2015,2015,Guam,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
8499,2015,2015,Alabama,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,46.0
5305,2013,2013,New Jersey,Asthma,Asthma prevalence among women aged 18-44 years,%,7.8
455,2011,2011,Mississippi,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,26.0
8124,2014,2014,Washington,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
6743,2011,2011,Washington,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
8213,2011,2011,Alabama,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",80.6
3038,2010,2014,Idaho,Cancer,"Melanoma, mortality",,39
7042,2009,2013,Oklahoma,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",51
7377,2017,2017,New York,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,24.6
1626,2018,2018,Vermont,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,1.9
9249,2012,2016,Missouri,Cancer,"Invasive melanoma, incidence","per 100,000",36.8
9241,2012,2012,Oklahoma,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,22.0
741,2011,2011,Alaska,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,
8439,2018,2018,Tennessee,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,89.9
5403,2010,2014,Georgia,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",45.1
8517,2011,2011,New Hampshire,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,30.9
6747,2014,2014,Vermont,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
9399,2017,2017,Oregon,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
7331,2010,2010,Maryland,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",1.51
227,2013,2013,Oregon,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",202.36
4286,2013,2013,Vermont,"Nutrition, Physical Activity, and Weight Status",Mean maternity practices in infant nutrition care (mPINC) score,Number,88
9932,2009,2013,South Carolina,Cancer,"Invasive melanoma, incidence","per 100,000",
3650,2014,2014,Kansas,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,12.0
3694,2017,2017,Ohio,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,33.1
3873,2016,2016,West Virginia,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,4.0
5767,2016,2016,Maryland,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
6466,2011,2011,Idaho,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
8085,2012,2012,Louisiana,Oral Health,All teeth lost among adults aged >= 65 years,%,28.2
7546,2012,2012,Wisconsin,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
9269,2015,2015,Wyoming,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,23.4
5918,2011,2015,Florida,Cancer,"Cancer of the prostate, mortality","per 100,000",27.2
9656,2012,2012,Idaho,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,17.4
4515,2014,2014,Maryland,Diabetes,Mortality due to diabetes reported as any listed cause of death,,3929
1445,2012,2012,Maine,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,88.3
9742,2012,2012,Kansas,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,27.4
5410,2015,2015,South Carolina,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",173.66
6823,2010,2010,Vermont,Alcohol,Chronic liver disease mortality,"cases per 100,000",8.8
7591,2011,2011,Texas,Asthma,Current asthma prevalence among adults aged >= 18 years,%,7.4
2744,2011,2011,Connecticut,Arthritis,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,%,32.9
5679,2016,2016,Texas,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",224.3
9657,2015,2015,West Virginia,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
6206,2010,2014,Tennessee,Cancer,"Melanoma, mortality",,5
511,2011,2011,Alaska,Alcohol,Heavy drinking among women aged 18-44 years,%,7.6
8984,2012,2012,Colorado,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",83.65
7205,2014,2014,Connecticut,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,6.4
4869,2018,2018,North Carolina,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,11.1
5541,2016,2016,North Carolina,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",215.8
9348,2013,2013,Washington,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
4803,2015,2015,Arkansas,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,11.3
4541,2011,2011,Illinois,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",78.6
4919,2015,2015,New York,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,8.2
9290,2018,2018,South Carolina,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
3787,2011,2011,North Carolina,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",93.7
5548,2016,2016,Kentucky,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,46.9
391,2018,2018,Virgin Islands,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,
3336,2012,2012,Mississippi,Oral Health,No tooth loss among adults aged 18-64 years,%,48.4
5701,2014,2014,Maryland,Alcohol,Chronic liver disease mortality,"cases per 100,000",
7901,2014,2014,North Carolina,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,2.6
1658,2012,2012,Washington,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,68.8
7434,2014,2014,West Virginia,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,5.8
7658,2011,2011,Nevada,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,41.3
8401,2013,2013,Iowa,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,%,
7715,2011,2011,Connecticut,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,33.3
4780,2012,2016,Arkansas,Cancer,"Cancer of the female cervix, mortality","per 100,000",
9355,2016,2016,Delaware,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,3.9
1104,2011,2011,New Jersey,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",150.6
3323,2013,2013,Vermont,Arthritis,Arthritis among adults aged >= 18 years,%,26
435,2014,2014,Michigan,Disability,Disability among adults aged >= 65 years,%,36.2
4882,2013,2013,Kansas,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,15.0
9493,2018,2018,Hawaii,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,2.8
9970,2015,2015,South Carolina,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,
2781,2015,2015,Virginia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,
9917,2012,2012,Minnesota,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,18.4
1995,2016,2016,Alaska,"Nutrition, Physical Activity, and Weight Status",State child care regulation supports onsite breastfeeding,,No
2876,2011,2015,Montana,Cancer,"Invasive cancer of the female breast, incidence","per 100,000",158.3
1922,2011,2011,New Jersey,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,3.2
9270,2015,2015,Missouri,Cancer,Mammography use among women aged 50-74 years,%,
8836,2014,2014,Montana,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,
7075,2018,2018,Nebraska,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,3.6
1936,2013,2013,Connecticut,"Nutrition, Physical Activity, and Weight Status",Census tracts with healthier food retailers within ½ mile of boundary,%,66.7
3591,2012,2012,Wyoming,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,58.5
9975,2016,2016,Alaska,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",86.2
7980,2016,2016,California,Tobacco,Current cigarette smoking among women aged 18-44 years,%,5.3
8812,2014,2014,California,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,2.0
7993,2017,2017,Montana,Alcohol,Chronic liver disease mortality,"cases per 100,000",
7319,2018,2018,Vermont,Oral Health,No tooth loss among adults aged 18-64 years,%,71.2
